Num_Acc;catv;situ;adr;jour;mois;an;dep;lat;long;hrmn;atm;grav;sexe;an_nais;trajet;age
201900007205;1;1;ROUTE DE LA SEINE A LA BUTTE MORTEMART;24;11;2019;75;48.851771;2.23295;14:45;1;1;1;1961;5;58
201900007213;1;5;RUE DE CLERY;23;11;2019;75;48.8689464;2.3494693;21:15;1;4;1;1994;4;25
201900007796;1;5;BOULEVARD PASTEUR;16;9;2019;75;48.8428714;2.3123891;09:45;1;4;1;1988;1;31
201900007796;1;5;BOULEVARD PASTEUR;16;9;2019;75;48.8428714;2.3123891;09:45;1;1;1;1978;4;41
201900007797;1;5;BOULEVARD RICHARD LENOIR;16;9;2019;75;48.8640025;2.3706871;18:20;1;4;2;1995;0;24
201900007797;1;5;BOULEVARD RICHARD LENOIR;16;9;2019;75;48.8640025;2.3706871;18:20;1;1;1;1996;5;23
201900007798;1;5;RUE LEON FROT;16;9;2019;75;48.854643;2.387543;13:25;1;4;2;1980;1;39
201900008238;1;5;RUE BEAUREPAIRE;19;10;2019;75;48.8693256;2.3633875;17:15;1;4;2;1950;5;69
201900008238;1;5;RUE BEAUREPAIRE;19;10;2019;75;48.8693256;2.3633875;17:15;1;1;2;1985;5;34
201900009366;1;1;RUE DES BOIS;19;12;2019;75;48.878601;2.400545;10:50;2;1;2;1982;9;37
201900009366;1;1;RUE DES BOIS;19;12;2019;75;48.878601;2.400545;10:50;2;4;1;1972;1;47
201900009561;1;1;RUE ORDENER;15;9;2019;75;48.8919584;2.3474028;14:30;1;4;1;1980;5;39
201900009561;1;1;RUE ORDENER;15;9;2019;75;48.8919584;2.3474028;14:30;1;1;1;1973;4;46
201900010076;1;1;AVENUE DE FLANDRE;18;10;2019;75;48.8923245;2.3791355;08:25;2;4;1;1998;1;21
201900010076;1;1;AVENUE DE FLANDRE;18;10;2019;75;48.8923245;2.3791355;08:25;2;4;1;1982;1;37
201900010081;1;5;BOULEVARD VOLTAIRE;18;10;2019;75;48.855012;2.384833;18:30;1;4;1;1996;9;23
201900010081;1;5;BOULEVARD VOLTAIRE;18;10;2019;75;48.855012;2.384833;18:30;1;1;2;1948;5;71
201900010084;1;5;QUAI D ORSAY;18;10;2019;75;48.8625492;2.3104058;21:00;1;4;1;1992;0;27
201900010084;1;5;QUAI D ORSAY;18;10;2019;75;48.8625492;2.3104058;21:00;1;1;1;1981;0;38
201900010087;1;5;BOULEVARD DE SEBASTOPOL;16;10;2019;75;48.861212;2.349725;19:55;2;1;1;1965;1;54
201900010087;1;5;BOULEVARD DE SEBASTOPOL;16;10;2019;75;48.861212;2.349725;19:55;2;4;1;1999;0;20
201900011036;1;6;PLACE SAINT MICHEL;21;11;2019;75;48.8537523;2.3442794;20:40;1;1;1;1982;0;37
201900011036;1;6;PLACE SAINT MICHEL;21;11;2019;75;48.8537523;2.3442794;20:40;1;4;1;1946;9;73
201900011038;1;5;AVENUE JEAN JAURES;22;11;2019;75;48.884462;2.376636;17:00;1;1;2;1963;5;56
201900011038;1;5;AVENUE JEAN JAURES;22;11;2019;75;48.884462;2.376636;17:00;1;1;1;1962;5;57
201900011038;1;5;AVENUE JEAN JAURES;22;11;2019;75;48.884462;2.376636;17:00;1;4;1;1995;0;24
201900011049;1;1;RUE DE MONTHOLON;22;11;2019;75;48.87657;2.3461103;15:15;1;1;1;1982;0;37
201900011049;1;1;RUE DE MONTHOLON;22;11;2019;75;48.87657;2.3461103;15:15;1;4;1;1937;5;82
201900011310;1;5;BOULEVARD MALESHERBES;16;12;2019;75;48.884809;2.307714;20:50;1;4;1;1979;1;40
201900011310;1;5;BOULEVARD MALESHERBES;16;12;2019;75;48.884809;2.307714;20:50;1;1;1;1983;5;36
201900011310;1;5;BOULEVARD MALESHERBES;16;12;2019;75;48.884809;2.307714;20:50;1;1;2;1991;5;28
201900011311;1;1;RUE DE LA POMPE;17;12;2019;75;48.8696621;2.2823882;16:15;2;4;1;1996;9;23
201900011311;1;1;RUE DE LA POMPE;17;12;2019;75;48.8696621;2.2823882;16:15;2;4;1;1949;5;70
201900011319;1;1;AVENUE DES GOBELINS;17;12;2019;75;48.834906;2.353177;23:40;1;4;2;1992;0;27
201900011320;1;1;BOULEVARD KELLERMANN;17;12;2019;75;48.8209896;2.3506273;09:03;1;4;1;1991;1;28
201900011320;1;1;BOULEVARD KELLERMANN;17;12;2019;75;48.8209896;2.3506273;09:03;1;4;1;1985;1;34
201900011321;1;1;QUAI DE LA RAPEE;18;12;2019;75;48.8393467;2.375312;07:15;1;1;1;1972;0;47
201900011321;1;1;QUAI DE LA RAPEE;18;12;2019;75;48.8393467;2.375312;07:15;1;4;1;1972;1;47
201900011321;1;1;QUAI DE LA RAPEE;18;12;2019;75;48.8393467;2.375312;07:15;1;1;1;1972;0;47
201900011321;1;1;QUAI DE LA RAPEE;18;12;2019;75;48.8393467;2.375312;07:15;1;4;1;1972;1;47
201900011322;1;5;BOULEVARD VOLTAIRE;18;12;2019;75;48.859742;2.376877;16:25;1;1;1;1984;5;35
201900011322;1;5;BOULEVARD VOLTAIRE;18;12;2019;75;48.859742;2.376877;16:25;1;4;1;1948;5;71
201900011322;1;5;BOULEVARD VOLTAIRE;18;12;2019;75;48.859742;2.376877;16:25;1;1;1;1984;5;35
201900011322;1;5;BOULEVARD VOLTAIRE;18;12;2019;75;48.859742;2.376877;16:25;1;4;1;1948;5;71
201900011323;1;6;BOULEVARD DE DENAIN;18;12;2019;75;48.878522;2.354068;22:45;1;4;1;1952;5;67
201900011330;1;1;BOULEVARD DE COURCELLES;18;12;2019;75;48.879153;2.3030841;13:50;1;4;1;1982;4;37
201900011330;1;1;BOULEVARD DE COURCELLES;18;12;2019;75;48.879153;2.3030841;13:50;1;4;1;1956;0;63
201900011335;1;1;ROND POINT DU BLEUET DE FRANCE;18;12;2019;75;48.8588564;2.3129869;20:00;1;1;1;1969;4;50
201900011335;1;1;ROND POINT DU BLEUET DE FRANCE;18;12;2019;75;48.8588564;2.3129869;20:00;1;4;2;1978;9;41
201900011336;1;1;BOULEVARD SAINT GERMAIN;18;12;2019;75;48.859996;2.321688;17:10;1;1;1;1985;0;34
